,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%
5,Anthony Edwards,MIN,21.0,79.0,40.0,39.0,47.358333333333334,1946.0,707.0,1541.0,45.9,213.0,578.0,36.9
7,Donovan Mitchell,CLE,26.0,68.0,44.0,24.0,40.54,1922.0,679.0,1402.0,48.4,245.0,635.0,38.6
9,Zach LaVine,CHI,28.0,77.0,38.0,39.0,46.13166666666667,1913.0,673.0,1388.0,48.5,204.0,544.0,37.5
10,Damian Lillard,POR,32.0,58.0,27.0,31.0,35.11,1866.0,556.0,1202.0,46.3,244.0,658.0,37.1
15,Lauri Markkanen,UTA,25.0,66.0,32.0,34.0,37.875,1691.0,571.0,1144.0,49.9,200.0,510.0,39.2
16,Nikola Jokic,DEN,28.0,69.0,48.0,21.0,38.71666666666667,1690.0,646.0,1022.0,63.2,57.0,149.0,38.3
19,Mikal Bridges,BKN,26.0,83.0,42.0,41.0,49.38666666666666,1671.0,593.0,1267.0,46.8,169.0,442.0,38.2
20,Stephen Curry,GSW,35.0,56.0,30.0,26.0,32.35333333333333,1648.0,559.0,1133.0,49.3,273.0,639.0,42.7
21,Jalen Brunson,NYK,26.0,68.0,40.0,28.0,39.644999999999996,1633.0,587.0,1195.0,49.1,134.0,322.0,41.6
22,Kyrie Irving,DAL,31.0,60.0,32.0,28.0,37.343333333333334,1623.0,594.0,1203.0,49.4,188.0,496.0,37.9
25,CJ McCollum,NOP,31.0,75.0,38.0,37.0,44.15333333333333,1568.0,587.0,1344.0,43.7,211.0,543.0,38.9
28,Domantas Sabonis,SAC,26.0,79.0,47.0,32.0,45.593333333333334,1510.0,577.0,938.0,61.5,31.0,83.0,37.3
29,Klay Thompson,GSW,33.0,69.0,38.0,31.0,37.98166666666667,1509.0,546.0,1252.0,43.6,301.0,731.0,41.2
30,Kristaps Porzingis,WAS,27.0,65.0,27.0,38.0,35.325,1505.0,507.0,1018.0,49.8,137.0,356.0,38.5
31,Darius Garland,CLE,23.0,69.0,40.0,29.0,40.78666666666666,1490.0,522.0,1129.0,46.2,169.0,412.0,41.0
